droughtDate,droughtLvl,areaPct,fireName,county,acres,fireDate,countyList,countyCount
09/03/2021,D4,3.75,River,Monterey,"48,088",16/08/2020,,
02/03/2021,D0,99.25,Dome,San Bernardino,"43,273",16/08/2020,,
02/03/2021,D1,90.89,CZU Lightning Complex,San Mateo,"86,509",16/08/2020,,
02/03/2021,D2,56.98,SCU Lightning Complex,Santa Clara,"396,624",16/08/2020,,
02/03/2021,D3,29.54,August Complex,Glenn,"1,032,648",16/08/2020,,
02/03/2021,D4,3.75,Rattlesnake,Tulare,"8,419",16/08/2020,,
23/02/2021,D0,99.3,LNU Lightning Complex,Colusa,"363,220",17/08/2020,,
23/02/2021,D1,84.88,Holser,Ventura,"3,000",17/08/2020,,
23/02/2021,D2,56.98,Butte/Tehama/Glenn Lightning Complex (Butte Zone),Butte,"19,609",17/08/2020,,
23/02/2021,D3,29.54,North Complex,Plumas,"318,935",17/08/2020,,
23/02/2021,D4,3.75,Jones,Nevada,705,17/08/2020,,
16/02/2021,D0,99.3,Sheep,Plumas,"29,570",17/08/2020,,
16/02/2021,D1,84.88,Salt,Calaveras,"1,789",18/08/2020,,
16/02/2021,D2,57.58,W-5 Cold Springs,Lassen,"84,817",18/08/2020,,
16/02/2021,D3,30.99,Carmel,Monterey,"6,905",18/08/2020,,
16/02/2021,D4,3.75,Dolan,Monterey,"124,924",18/08/2020,,
09/02/2021,D0,99.36,Woodward,Marin,"4,929",19/08/2020,,
09/02/2021,D1,85.1,SQF Complex,Tulare,"174,178",19/08/2020,,
09/02/2021,D2,57.87,Moc,Tuolumne,"2,857",20/08/2020,,
09/02/2021,D3,31.41,Moraine,Fresno,"1,316",21/08/2020,,
09/02/2021,D4,3.75,Slink,Alpine,"26,759",29/08/2020,,
02/02/2021,D0,100,Creek,Fresno,"379,895",04/09/2020,,
02/02/2021,D1,85.99,El Dorado,San Bernardino,"22,744",05/09/2020,,
02/02/2021,D2,58.44,Valley,San Diego,"16,390",05/09/2020,,
02/02/2021,D3,31.65,Bobcat,Los Angeles,"115,997",06/09/2020,,
02/02/2021,D4,3.75,Oak,Mendocino,"1,100",07/09/2020,,
26/01/2021,D0,100,Slater / Devil,Siskiyou,"166,127",07/09/2020,,
26/01/2021,D1,95.2,Fork,El Dorado,"1,673",08/09/2020,,
26/01/2021,D2,75.74,Bullfrog,Fresno,"1,185",09/09/2020,,
26/01/2021,D3,39.46,Willow,Yuba,"1,311",09/09/2020,,
26/01/2021,D4,3.86,Fox,Siskiyou,"2,188",14/09/2020,,
19/01/2021,D0,100,Snow,Riverside,"6,254",17/09/2020,,
19/01/2021,D1,95.2,Glass,Napa,"67,484",27/09/2020,,
19/01/2021,D2,78.12,Zogg,Shasta,"56,338",27/09/2020,,
19/01/2021,D3,39.46,Silverado,Orange,"12,466",26/10/2020,,
19/01/2021,D4,1.19,Blue Ridge,Riverside,"13,694",26/10/2020,,
12/01/2021,D0,100,Laura 2,Lassen,"2,800",17/11/2020,,
12/01/2021,D1,95.2,Mountain View,Mono,"20,385",17/11/2020,,
12/01/2021,D2,79.1,Airport,Riverside,"1,087",01/12/2020,,
12/01/2021,D3,39.5,Bond,Orange,"6,686",02/12/2020,,
12/01/2021,D4,1.19,Sanderson,Riverside,"1,933",13/12/2020,,
05/01/2021,D0,100,Creek 5,San Diego,"4,276",23/12/2020,,
05/01/2021,D1,95.2,Refuge,Kern,"2,500",07/05/2019,,
05/01/2021,D2,74.34,Boulder,San Luis Obispo,"1,127",05/06/2019,,
05/01/2021,D3,33.84,Sand,Yolo,"2,512",08/06/2019,,
05/01/2021,D4,1.19,West Butte,Sutter,"1,300",08/06/2019,,
29/12/2020,D0,100,McMillan,San Luis Obispo,"1,764",12/06/2019,,
29/12/2020,D1,95.17,Lonoak,Monterey,"2,546",25/06/2019,,
29/12/2020,D2,74.34,Rock,Stanislaus,"2,422",25/06/2019,,
29/12/2020,D3,33.75,Cow,Inyo,"1,975",25/06/2019,,
29/12/2020,D4,1.19,Springs,Mono,"4,840",26/06/2019,,
22/12/2020,D0,100,Tucker,Modoc,"14,150",28/06/2019,,
22/12/2020,D1,95.17,W-1 McDonald,Lassen,"1,020",08/08/2019,,
22/12/2020,D2,74.34,Gaines,Mariposa,"1,300",16/08/2019,,
22/12/2020,D3,33.75,Mountain,Shasta,600,22/08/2019,,
22/12/2020,D4,1.19,Long Valley,Lassen,"2,438",24/08/2019,,
15/12/2020,D0,100,R-1 Ranch,Lassen,"3,380",28/08/2019,,
15/12/2020,D1,95.17,Tenaja,Riverside,"1,926",04/09/2019,,
15/12/2020,D2,74.35,Walker,Plumas,"54,608",04/09/2019,,
15/12/2020,D3,33.75,Taboose,Inyo,"10,296",04/09/2019,,
15/12/2020,D4,1.19,Lime,Siskiyou,"1,872",04/09/2019,,
08/12/2020,D0,100,Middle,Trinity,"1,339",05/09/2019,,
08/12/2020,D1,95.17,Red Bank,Tehama,"8,838",05/09/2019,,
08/12/2020,D2,66.79,South,Tehama,"5,332",05/09/2019,,
08/12/2020,D3,21.3,Lone,Modoc,"5,737",05/09/2019,,
08/12/2020,D4,0,Springs,Mono,"4,840",06/09/2019,,
01/12/2020,D0,96.54,Briceburg,Mariposa,"5,563",06/10/2019,,
01/12/2020,D1,75.03,Sandalwood,Riverside,"1,011",10/10/2019,,
01/12/2020,D2,48.19,Caples,El Dorado,"3,435",10/10/2019,,
01/12/2020,D3,19.36,Saddlerige,Los Angeles,8799,10/10/2019,,
01/12/2020,D4,0,Kincade,Sonoma,"77,758",23/10/2019,,
24/11/2020,D0,96.5,Tick,Los Angeles,"4,615",24/10/2019,,
24/11/2020,D1,75.03,Getty,Los Angeles,745,28/10/2019,,
24/11/2020,D2,48.19,Easy,Ventura,"1,806",30/10/2019,,
24/11/2020,D3,19.36,Hillside,San Bernardino,200,31/10/2019,,
24/11/2020,D4,0,Maria,Ventura,"9,999",31/10/2019,,
17/11/2020,D0,84.39,Ranch,Tehama,"2,534",03/11/2019,,
17/11/2020,D1,70.91,Cave,Santa Barbara,"3,126",25/11/2019,,
17/11/2020,D2,41.25,Pleasant,Inyo,"2,070",18/02/2018,,
17/11/2020,D3,15.83,Moffat,Inyo,"1,265",19/04/2018,,
17/11/2020,D4,0,Nees,Merced,"1,756",02/05/2018,,
10/11/2020,D0,84.52,Patterson,Riverside,"1,261",17/05/2018,,
10/11/2020,D1,70.91,Panoche,San Benito,64,04/06/2018,,
10/11/2020,D2,41.25,Stone,Los Angeles,"1,352",04/06/2018,,
10/11/2020,D3,15.83,Airline,San Benito,"1,314",04/06/2018,,
10/11/2020,D4,0,Apple,Tehama,"2,956",09/06/2018,,
03/11/2020,D0,84.52,Chrome,Glenn,"2,290",09/06/2018,,
03/11/2020,D1,67.54,Lions,Madera,"13,347",11/06/2018,,
03/11/2020,D2,35.61,Planada,Merced,"4,564",15/06/2018,,
03/11/2020,D3,12.74,Yankee,San Luis Obispo,"1,500",20/06/2018,,
03/11/2020,D4,0,Lane,Tehama,"3,716",23/06/2018,,
27/10/2020,D0,84.6,Pawnee,Lake,"15,185",23/06/2018,,
27/10/2020,D1,67.54,Creek,Madera,"1,678",24/06/2018,,
27/10/2020,D2,35.61,Waverly,San Joaquin,"12,300",29/06/2018,,
27/10/2020,D3,12.74,County,Lake,"90,288",30/06/2018,,
27/10/2020,D4,0,Klamathon,Siskiyou,"38,008",05/07/2018,,
20/10/2020,D0,84.6,Valley,San Bernardino,"1,350",06/07/2018,,
20/10/2020,D1,67.54,Holiday,Santa Barbara,113,06/07/2018,,
20/10/2020,D2,35.61,Pendleton Complex,San Diego,"1,800",06/07/2018,,
20/10/2020,D3,12.74,West,San Diego,504,06/07/2018,,
20/10/2020,D4,0,Georges,Inyo,"2,883",08/07/2018,,
13/10/2020,D0,84.6,Ferguson,Mariposa,"96,901",13/07/2018,,
13/10/2020,D1,67.54,Eagle,Modoc,"2,100",13/07/2018,,
13/10/2020,D2,35.61,Natchez,Del Norte,"38,134",15/07/2018,,
13/10/2020,D3,12.74,Carr,Shasta,"229,651",23/07/2018,,
13/10/2020,D4,0,Cranston,Riverside,"13,139",26/07/2018,,
06/10/2020,D0,84.6,Mendocino Complex,Mendocino,"459,123",27/07/2018,,
06/10/2020,D1,67.54,Whaleback,Lassen,"18,703",27/07/2018,,
06/10/2020,D2,35.61,Butte,Sutter,"1,200",31/07/2018,,
06/10/2020,D3,12.74,Donnell,Tuolumne,"36,450",01/08/2018,,
06/10/2020,D4,0,Tarina,Kern,"2,950",03/08/2018,,
29/09/2020,D0,84.65,Pendleton,San Diego,"1,000",05/08/2018,,
29/09/2020,D1,67.65,Turkey,Monterey,"2,225",06/08/2018,,
29/09/2020,D2,35.62,Holy,Riverside,"23,136",06/08/2018,,
29/09/2020,D3,12.74,Five,Kings,"2,995",06/08/2018,,
29/09/2020,D4,0,Hirz,Shasta,"46,150",09/08/2018,,
22/09/2020,D0,84.38,Hat,Shasta,"1,900",09/08/2018,,
22/09/2020,D1,67.09,Nelson,Solano,"2,162",10/08/2018,,
22/09/2020,D2,35.27,Stone,Modoc,"39,387",15/08/2018,,
22/09/2020,D3,3.39,Mill Creek 1,Humboldt,"3,674",16/08/2018,,
22/09/2020,D4,0,Front,San Luis Obispo,"1,014",19/08/2018,,
15/09/2020,D0,84.38,North,Placer,"1,120",03/09/2018,,
15/09/2020,D1,67.09,Boot,Mono,"6,974",04/09/2018,,
15/09/2020,D2,35.26,Kerlin,Trinity,"1,751",04/09/2018,,
15/09/2020,D3,3.17,Delta,Shasta,"63,311",05/09/2018,,
15/09/2020,D4,0,Snell,Napa,"2,490",08/09/2018,,
08/09/2020,D0,79.55,Charlie,Los Angeles,"3,380",22/09/2018,,
08/09/2020,D1,54.18,Alder,Tulare,"4,653",04/10/2018,,
08/09/2020,D2,32.98,Eden,Tulare,"1,777",04/10/2018,,
08/09/2020,D3,3.04,Branscombe,Solano,"4,700",07/10/2018,,
08/09/2020,D4,0,Sun,Tehama,"3,889",07/10/2018,,
01/09/2020,D0,79.61,Mountaineer,Tulare,"1,270",13/10/2018,,
01/09/2020,D1,54.38,Camp,Butte,"153,336",08/11/2018,,
01/09/2020,D2,31.78,Nurse,Solano,"1,500",08/11/2018,,
01/09/2020,D3,3.04,Hill,Ventura,"4,531",08/11/2018,,
01/09/2020,D4,0,Woolsey,Los Angeles,"96,949",08/11/2018,,
25/08/2020,D0,79.45,Jayne,Fresno,"5,738",20/04/2017,,
25/08/2020,D1,54.38,Opera,Riverside,"1,350",30/04/2017,,
25/08/2020,D2,31.88,Elm,Fresno,"10,345",18/05/2017,,
25/08/2020,D3,3.04,Gate,San Diego,"2,056",20/05/2017,,
25/08/2020,D4,0,Oakwood,Madera,"1,431",10/06/2017,,
18/08/2020,D0,79.45,Highway,Kern,"1,522",18/06/2017,,
18/08/2020,D1,54.22,Holcomb,San Bernardino,"1,503",19/06/2017,,
18/08/2020,D2,21.72,Schaeffer,Tulare,"16,031",24/06/2017,,
18/08/2020,D3,3.04,Salmon August Complex,Siskiyou,"65,888",25/06/2017,,
18/08/2020,D4,0,Manzanita,Riverside,"6,309",26/06/2017,,
11/08/2020,D0,66.26,Hill,San Luis Obispo,"1,598",26/06/2017,,
11/08/2020,D1,50.39,Winters,Yolo,"2,269",06/07/2017,,
11/08/2020,D2,21.72,Alamo,San Luis Obispo,"28,687",06/07/2017,,
11/08/2020,D3,3.04,Wall,Butte,"6,033",07/07/2017,,
11/08/2020,D4,0,Whittier,Santa Barbara,"18,430",08/07/2017,,
04/08/2020,D0,66.26,Parkfield,Monterey,"1,816",08/07/2017,,
04/08/2020,D1,50.38,Garza,Fresno,"48,889",09/07/2017,,
04/08/2020,D2,21.5,Long Valley,Lassen,"83,733",11/07/2017,,
04/08/2020,D3,3.04,Detwiler,Mariposa,"81,826",16/07/2017,,
04/08/2020,D4,0,Modoc July Complex,Modoc,"83,120",24/07/2017,,
28/07/2020,D0,59.66,Orleans Complex,Siskiyou,"27,276",25/07/2017,,
28/07/2020,D1,50.38,Empire,Mariposa,"6,370",01/08/2017,,
